NAMELSAD10,Longitude,Latitude,Electricity,Fertilizer,Food_Production,Food_waste,Natural_Gas,Pet_waste,Pet_food_production,Transportation,Wastewater
Census Tract 3613,-86.03584,39.7667,30014,4218.2,2957177,33751.9,60109.7,12.5,14.1,4307.1,130.7
Census Tract 3614,-86.04606,39.74672,126371.6,19232.2,12174543,138954.6,219777.1,51.4,57.9,23900.5,666.1
Census Tract 3616,-85.98306,39.74505,99455.2,19728.3,9651124,110153.5,181650.7,40.7,45.9,51749.3,600.4
Census Tract 3702.01,-86.25541,39.70447,49840.3,1087.3,4821166,55026.6,88689.6,20.4,22.9,7576.7,276.6
Census Tract 3702.02,-86.22344,39.7046,77333.7,5645.5,7382685,84262.6,128014.9,31.2,35.1,7863.5,374.2
Census Tract 3703.01,-86.29697,39.65371,98588.4,32062.1,9393214,107209.8,159805.1,39.7,44.7,51749.3,625.5
Census Tract 3703.02,-86.24838,39.6731,91741,12553.1,8654652,98780.2,139090.2,36.5,41.1,51749.3,561.9
Census Tract 3801,-86.20372,39.67842,211499.6,43059.7,19932371,227498.9,324836.1,84.1,94.7,69125.9,1287.6
Census Tract 3802,-86.1585,39.71514,42192.8,3442.9,4041573,46128.7,71519,17.1,19.2,3875.9,195.5
Census Tract 3803,-86.12638,39.71607,45207.4,3348.5,4410854,50343.5,85821.1,18.6,21,6171.6,278.9
Census Tract 3804.02,-86.09494,39.69919,62732.6,2759.8,5961247,68038.9,101456.7,25.2,28.3,5251.3,286.5
Census Tract 3804.03,-86.08823,39.71457,46663.9,1317.9,4580840,52283.6,90705.2,19.3,21.8,5590.2,266.4
Census Tract 3804.04,-86.1031,39.71325,46573.2,2046.6,4545671,51882.2,87911.3,19.2,21.6,7046.4,232.2
Census Tract 3805.01,-86.1219,39.69582,27975,2092.9,2713921,30975.4,51409.2,11.5,12.9,3848.3,131.1
Census Tract 3805.02,-86.12554,39.70441,46810.1,1757.6,4378615,49975.5,68059.7,18.5,20.8,4635.5,230.3
Census Tract 3806,-86.15801,39.70031,65765.1,1482,6418452,73257.3,120691.9,27.1,30.5,7948.7,338.7
Census Tract 3807,-86.15829,39.68599,68763.1,3380,6579646,75097,116422.7,27.8,31.3,51749.3,363.5
Census Tract 3808,-86.12522,39.68658,34958.6,4415.1,3443690,39304.7,69338.5,14.5,16.4,51749.3,164.8
Census Tract 3809.01,-86.10568,39.67433,54380.2,4882.1,5257855,60010.7,96979,22.2,25,12257.4,298.5
Census Tract 3809.02,-86.09146,39.6715,73139.1,6527.7,7004612,79947.4,123910.5,29.6,33.3,15329.5,350.9
Census Tract 3810.01,-86.12521,39.65757,79931.8,3623.6,7576118,86470.3,125481.4,32,36,51749.4,410.4
Census Tract 3810.02,-86.12528,39.67229,33550.7,4944.1,3349904,38234.3,71592.8,14.1,15.9,7534.2,184.5
Census Tract 3811.01,-86.15898,39.67149,75116.1,2735.9,7162875,81753.8,123641.8,30.2,34,51749.4,339.2
Census Tract 3811.02,-86.15941,39.65773,72080,4244.1,6913757,78910.4,121810.5,29.2,32.9,51749.3,388.5
Census Tract 3812.01,-86.15866,39.64327,86311.3,6456,8250202,94164,142371.2,34.8,39.2,51749.3,420.4
Census Tract 3812.03,-86.12832,39.64668,30776.9,1226.1,2992347,34153.3,56182.1,12.6,14.2,51749.3,190.4
Census Tract 3812.04,-86.12354,39.63887,50194,1815.1,4598425,52484.3,61855,19.4,21.9,51749.3,182.6
Census Tract 3812.05,-86.09843,39.64415,81037.4,2205.9,7678696,87641.1,128524.5,32.4,36.5,51749.3,405
Census Tract 3901.01,-86.03829,39.70901,85347.4,5432,8326403,95033.7,158247.8,35.2,39.6,51749.3,550.7
Census Tract 3901.02,-86.06948,39.71138,63405.7,4354.1,5940732,67804.8,93588.9,25.1,28.2,6271.6,357
Census Tract 3902,-85.98475,39.71128,45235.5,14499.8,4358100,49741.3,79330.5,18.4,20.7,51749.4,275
Census Tract 3903,-85.98224,39.66751,57389.6,27178.2,5644721,64426.2,112359.6,23.8,26.8,51749.3,354.8
Census Tract 3904.02,-86.05407,39.66608,129971.9,5586,12174543,138954.6,191511,51.4,57.9,51749.3,730.7
Census Tract 3904.03,-86.03157,39.66668,100283.5,11380.3,9818180,112060.2,193365.6,41.4,46.7,51749.4,633.9
Census Tract 3904.04,-86.07303,39.68232,66915.2,4525.7,6289497,71785.4,100023,26.6,29.9,51749.3,333.1
Census Tract 3904.05,-86.07311,39.65325,58855.3,3726.8,5489388,62653.3,83793.3,23.2,26.1,51749.3,266.6
Census Tract 3905,-86.17658,39.81748,24636.2,4248.6,2420841,27630.4,48455.7,10.2,11.5,3848.2,131.7
Census Tract 3906,-86.02835,39.86263,82125.7,17475.4,7722658,88142.9,124269.5,32.6,36.7,8730.6,342.4
Census Tract 3907,-86.20778,39.77046,27565.9,1359.7,2687544,30674.4,51613.2,11.3,12.8,3848.3,190.9
Census Tract 3908,-86.29579,39.70484,40984.5,14022,3801248,43385.7,55315.8,16,18.1,51749.3,235.9
Census Tract 3909,-86.14626,39.78944,40438.4,652.2,3959511,45192,77511.2,16.7,18.8,3848.3,170
Census Tract 3910,-86.1688,39.76915,105670.4,2913.2,9642332,110053.1,125410.6,40.7,45.8,8885.5,383.1
